,file,date,longitude,latitude,ocean,profiler_code,institution_code,date_update,wmo,institution,profiler
88,coriolis/6900583/profiles/D6900583_089.nc,2014-03-25 17:22:01,-15.598,46.64,A,846,IF,2017-08-18 15:53:46,6900583,"Ifremer, France","Webb Research, Seabird sensor"
89,coriolis/6900583/profiles/D6900583_090.nc,2014-04-09 17:36:36,-16.11,46.601,A,846,IF,2017-08-18 15:53:47,6900583,"Ifremer, France","Webb Research, Seabird sensor"
90,coriolis/6900583/profiles/D6900583_091.nc,2014-04-24 17:35:05,-17.116,46.26,A,846,IF,2017-08-18 15:53:49,6900583,"Ifremer, France","Webb Research, Seabird sensor"
91,coriolis/6900583/profiles/D6900583_092.nc,2014-05-09 17:07:53,-17.393,45.767,A,846,IF,2017-08-18 15:53:51,6900583,"Ifremer, France","Webb Research, Seabird sensor"
92,coriolis/6900583/profiles/D6900583_093.nc,2014-05-24 17:04:10,-17.236,45.299,A,846,IF,2017-08-18 15:53:53,6900583,"Ifremer, France","Webb Research, Seabird sensor"
93,coriolis/6900583/profiles/D6900583_094.nc,2014-06-08 17:24:39,-16.234,45.106,A,846,IF,2017-08-18 15:53:54,6900583,"Ifremer, France","Webb Research, Seabird sensor"
94,coriolis/6900583/profiles/D6900583_095.nc,2014-06-23 17:37:04,-15.575,45.478,A,846,IF,2017-08-18 15:53:56,6900583,"Ifremer, France","Webb Research, Seabird sensor"
95,coriolis/6900583/profiles/D6900583_096.nc,2014-07-08 16:14:52,-14.637,45.545,A,846,IF,2017-08-18 15:53:58,6900583,"Ifremer, France","Webb Research, Seabird sensor"
96,coriolis/6900583/profiles/D6900583_097.nc,2014-07-23 17:32:33,-14.415,45.033,A,846,IF,2017-08-18 15:54:00,6900583,"Ifremer, France","Webb Research, Seabird sensor"
97,coriolis/6900583/profiles/D6900583_098.nc,2014-08-07 17:31:03,-14.35,44.94,A,846,IF,2017-08-18 15:54:01,6900583,"Ifremer, France","Webb Research, Seabird sensor"
98,coriolis/6900583/profiles/D6900583_099.nc,2014-08-22 17:07:31,-14.457,45.069,A,846,IF,2017-08-18 15:54:03,6900583,"Ifremer, France","Webb Research, Seabird sensor"
99,coriolis/6900583/profiles/D6900583_100.nc,2014-09-06 17:35:21,-14.144,45.079,A,846,IF,2017-08-18 15:54:05,6900583,"Ifremer, France","Webb Research, Seabird sensor"
100,coriolis/6900583/profiles/D6900583_101.nc,2014-09-21 17:05:14,-14.553,45.079,A,846,IF,2017-08-18 15:54:06,6900583,"Ifremer, France","Webb Research, Seabird sensor"
101,coriolis/6900583/profiles/D6900583_102.nc,2014-10-06 17:40:23,-15.136,44.868,A,846,IF,2017-08-18 15:54:08,6900583,"Ifremer, France","Webb Research, Seabird sensor"
102,coriolis/6900583/profiles/D6900583_103.nc,2014-10-21 17:41:02,-15.748,44.892,A,846,IF,2017-08-18 15:54:10,6900583,"Ifremer, France","Webb Research, Seabird sensor"
103,coriolis/6900583/profiles/D6900583_104.nc,2014-11-05 17:25:35,-16.34,45.42,A,846,IF,2017-08-18 15:54:12,6900583,"Ifremer, France","Webb Research, Seabird sensor"
104,coriolis/6900583/profiles/D6900583_105.nc,2014-11-20 17:23:19,-17.054,45.783,A,846,IF,2017-08-18 15:54:13,6900583,"Ifremer, France","Webb Research, Seabird sensor"
105,coriolis/6900583/profiles/D6900583_106.nc,2014-12-05 17:18:09,-17.306,46.467,A,846,IF,2017-08-18 15:54:15,6900583,"Ifremer, France","Webb Research, Seabird sensor"
106,coriolis/6900583/profiles/D6900583_107.nc,2014-12-20 17:40:50,-16.407,46.668,A,846,IF,2017-08-18 15:54:17,6900583,"Ifremer, France","Webb Research, Seabird sensor"
107,coriolis/6900583/profiles/D6900583_108.nc,2015-01-04 17:22:27,-16.055,46.911,A,846,IF,2017-08-18 15:54:19,6900583,"Ifremer, France","Webb Research, Seabird sensor"
108,coriolis/6900583/profiles/D6900583_109.nc,2015-01-19 17:27:32,-15.499,47.382,A,846,IF,2017-08-18 15:54:21,6900583,"Ifremer, France","Webb Research, Seabird sensor"
109,coriolis/6900583/profiles/D6900583_110.nc,2015-02-03 17:30:24,-15.177,47.527,A,846,IF,2017-08-18 15:54:22,6900583,"Ifremer, France","Webb Research, Seabird sensor"
110,coriolis/6900583/profiles/D6900583_111.nc,2015-02-18 17:00:17,-15.035,47.288,A,846,IF,2017-08-18 15:54:24,6900583,"Ifremer, France","Webb Research, Seabird sensor"
111,coriolis/6900583/profiles/D6900583_112.nc,2015-03-05 17:32:30,-14.555,46.952,A,846,IF,2017-08-18 15:54:26,6900583,"Ifremer, France","Webb Research, Seabird sensor"
112,coriolis/6900583/profiles/D6900583_113.nc,2015-03-20 17:05:19,-13.714,46.845,A,846,IF,2017-08-18 15:54:27,6900583,"Ifremer, France","Webb Research, Seabird sensor"
113,coriolis/6900583/profiles/D6900583_114.nc,2015-04-04 17:36:47,-13.061,46.889,A,846,IF,2017-08-18 15:54:29,6900583,"Ifremer, France","Webb Research, Seabird sensor"
114,coriolis/6900583/profiles/D6900583_115.nc,2015-04-19 17:36:44,-12.06,46.299,A,846,IF,2017-08-18 15:54:31,6900583,"Ifremer, France","Webb Research, Seabird sensor"
115,coriolis/6900583/profiles/D6900583_116.nc,2015-05-04 17:16:09,-11.546,46.854,A,846,IF,2017-08-18 15:54:32,6900583,"Ifremer, France","Webb Research, Seabird sensor"
116,coriolis/6900583/profiles/D6900583_117.nc,2015-05-19 17:34:25,-11.262,47.346,A,846,IF,2017-08-18 15:54:34,6900583,"Ifremer, France","Webb Research, Seabird sensor"
117,coriolis/6900583/profiles/D6900583_118.nc,2015-06-03 17:38:46,-11.201,47.246,A,846,IF,2017-08-18 15:54:36,6900583,"Ifremer, France","Webb Research, Seabird sensor"
118,coriolis/6900583/profiles/D6900583_119.nc,2015-06-18 16:51:02,-10.962,47.187,A,846,IF,2017-08-18 15:54:38,6900583,"Ifremer, France","Webb Research, Seabird sensor"
119,coriolis/6900583/profiles/D6900583_120.nc,2015-07-03 17:23:59,-10.549,46.816,A,846,IF,2017-08-18 15:54:39,6900583,"Ifremer, France","Webb Research, Seabird sensor"
120,coriolis/6900583/profiles/D6900583_121.nc,2015-07-18 17:23:09,-10.236,46.255,A,846,IF,2017-08-18 15:54:41,6900583,"Ifremer, France","Webb Research, Seabird sensor"
121,coriolis/6900583/profiles/D6900583_122.nc,2015-08-02 17:20:54,-10.348,46.236,A,846,IF,2017-08-18 15:54:43,6900583,"Ifremer, France","Webb Research, Seabird sensor"
122,coriolis/6900583/profiles/D6900583_123.nc,2015-08-17 17:06:11,-10.036,45.92,A,846,IF,2017-08-18 15:54:45,6900583,"Ifremer, France","Webb Research, Seabird sensor"
123,coriolis/6900583/profiles/D6900583_124.nc,2015-09-01 17:16:23,-10.019,45.44,A,846,IF,2017-08-18 15:54:47,6900583,"Ifremer, France","Webb Research, Seabird sensor"
124,coriolis/6900583/profiles/D6900583_125.nc,2015-09-16 17:06:04,-9.605,45.457,A,846,IF,2017-08-18 15:54:49,6900583,"Ifremer, France","Webb Research, Seabird sensor"
125,coriolis/6900583/profiles/D6900583_126.nc,2015-10-01 16:25:41,-8.606,45.673,A,846,IF,2017-08-18 15:54:50,6900583,"Ifremer, France","Webb Research, Seabird sensor"
126,coriolis/6900583/profiles/D6900583_127.nc,2015-10-16 17:34:33,-7.525,46.15,A,846,IF,2017-08-18 15:54:52,6900583,"Ifremer, France","Webb Research, Seabird sensor"
127,coriolis/6900583/profiles/D6900583_128.nc,2015-10-31 17:41:05,-7.175,45.732,A,846,IF,2017-08-18 15:54:54,6900583,"Ifremer, France","Webb Research, Seabird sensor"
128,coriolis/6900583/profiles/D6900583_129.nc,2015-11-15 17:41:47,-6.985,45.432,A,846,IF,2017-08-18 15:54:56,6900583,"Ifremer, France","Webb Research, Seabird sensor"
129,coriolis/6900583/profiles/D6900583_130.nc,2015-11-30 17:34:22,-6.507,45.317,A,846,IF,2017-08-18 15:54:56,6900583,"Ifremer, France","Webb Research, Seabird sensor"
130,coriolis/6900583/profiles/D6900583_131.nc,2015-12-15 17:40:56,-6.54,45.151,A,846,IF,2017-08-18 15:54:57,6900583,"Ifremer, France","Webb Research, Seabird sensor"
131,coriolis/6900583/profiles/D6900583_132.nc,2015-12-30 17:36:29,-6.534,44.943,A,846,IF,2017-08-18 15:54:59,6900583,"Ifremer, France","Webb Research, Seabird sensor"
132,coriolis/6900583/profiles/D6900583_133.nc,2016-01-14 17:23:58,-6.81,44.763,A,846,IF,2017-08-18 15:55:00,6900583,"Ifremer, France","Webb Research, Seabird sensor"
133,coriolis/6900583/profiles/D6900583_134.nc,2016-01-29 17:26:50,-7.184,44.943,A,846,IF,2017-08-18 15:55:02,6900583,"Ifremer, France","Webb Research, Seabird sensor"
134,coriolis/6900583/profiles/D6900583_135.nc,2016-02-13 17:31:56,-7.438,45.142,A,846,IF,2018-06-11 15:36:07,6900583,"Ifremer, France","Webb Research, Seabird sensor"
135,coriolis/6900583/profiles/D6900583_136.nc,2016-02-28 17:25:17,-7.364,45.457,A,846,IF,2018-06-11 15:36:08,6900583,"Ifremer, France","Webb Research, Seabird sensor"
136,coriolis/6900583/profiles/D6900583_137.nc,2016-03-14 17:36:13,-7.135,45.59,A,846,IF,2018-06-11 15:36:09,6900583,"Ifremer, France","Webb Research, Seabird sensor"
137,coriolis/6900583/profiles/D6900583_138.nc,2016-03-29 17:30:19,-6.858,45.543,A,846,IF,2017-08-18 15:55:10,6900583,"Ifremer, France","Webb Research, Seabird sensor"
138,coriolis/6900583/profiles/D6900583_139.nc,2016-04-13 17:26:35,-6.532,45.399,A,846,IF,2017-08-18 15:55:11,6900583,"Ifremer, France","Webb Research, Seabird sensor"
139,coriolis/6900583/profiles/D6900583_140.nc,2016-04-28 17:21:24,-6.297,45.028,A,846,IF,2017-08-18 15:55:13,6900583,"Ifremer, France","Webb Research, Seabird sensor"
140,coriolis/6900583/profiles/D6900583_141.nc,2016-05-13 15:22:33,-5.881,44.65,A,846,IF,2017-08-18 15:55:15,6900583,"Ifremer, France","Webb Research, Seabird sensor"
